4972913.110,518037.146,35.922,0,85
4972913.052,518037.385,35.958,0,93
4972913.047,518037.385,35.958,0,80
4972913.077,518037.367,35.953,0,125
4972913.078,518037.367,35.952,0,79
4972913.101,518037.152,35.925,0,118
4972913.119,518037.143,35.92,0,118
4972913.100,518037.169,35.925,0,87
4972913.056,518037.375,35.957,0,98
4972913.109,518037.144,35.923,0,115
4972913.087,518037.393,35.955,0,115
4972913.108,518037.161,35.924,0,110
4972913.052,518037.393,35.959,0,81
4972913.081,518037.373,35.953,0,146
4972913.105,518037.169,35.925,0,98
4972913.077,518037.372,35.954,0,134
4972913.054,518037.377,35.958,0,77
4972913.071,518037.393,35.957,0,84
4972913.116,518037.158,35.922,0,127
4972913.114,518037.174,35.923,0,116
4972913.070,518037.383,35.956,0,105
4972913.088,518037.380,35.952,0,123
4972913.092,518037.375,35.951,0,74
4972913.056,518037.388,35.958,0,92
4972913.092,518037.398,35.955,0,99
4972913.079,518037.392,35.955,0,104
4972913.108,518037.147,35.923,0,124
4972913.056,518037.382,35.958,0,104
4972913.058,518037.412,35.957,0,84
4972913.065,518037.388,35.957,0,88
4972913.112,518037.148,35.922,0,124
4972913.074,518037.371,35.954,0,130
4972913.069,518037.371,35.955,0,117
4972913.101,518037.147,35.924,0,85
4972913.075,518037.376,35.955,0,132
4972913.083,518037.384,35.954,0,107
4972913.087,518037.384,35.953,0,112
4972913.118,518037.148,35.921,0,109
4972913.060,518037.371,35.956,0,104
4972913.105,518037.147,35.923,0,109
4972913.095,518037.398,35.954,0,74
4972913.075,518037.396,35.956,0,74
4972913.053,518037.389,35.958,0,88
4972913.113,518037.151,35.922,0,123
4972913.049,518037.389,35.958,0,78
4972913.060,518037.393,35.957,0,83
4972913.109,518037.165,35.924,0,123
4972913.125,518037.144,35.92,0,119
4972913.088,518037.371,35.95,0,81
4972913.078,518037.389,35.956,0,97
4972913.089,518037.383,35.953,0,97
4972913.065,518037.372,35.955,0,113
4972913.069,518037.398,35.957,0,74
4972913.079,518037.380,35.954,0,126
4972913.082,518037.379,35.954,0,134
4972913.069,518037.380,35.956,0,119
4972913.088,518037.369,35.951,0,72
4972913.092,518037.385,35.953,0,107
4972913.119,518037.156,35.921,0,100
4972913.117,518037.151,35.921,0,104
4972913.101,518037.156,35.924,0,112
